"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"FA" 0 0 1.2139560005276e-05 1.20025626110732e-05 0 280 -Inf 0
"FE" 0 0 4.06729850151076e-05 3.6800840476819e-05 0 280 -Inf 0
"FF" 0.000111607142857143 9.3781055048871e-05 0.000421748038082666 0.000354474357551534 0.00156804402969947 280 -2.78195843047771 0.00540319603811281
"FI" 0.000132275132275132 0.000124059026686398 3.31158487203077e-05 3.08104086637523e-05 0.00207359930517047 280 0.752482806437663 0.451760765746153
"FS" 0 0 2.19261629225899e-07 1.27777499503038e-07 0 280 -Inf 0
"FU" 0 0 3.64473945501827e-05 3.45795227841694e-05 0 280 -Inf 0
"FY" 0.000157179660185242 0.000146087416401452 0.000639454872001921 0.000592668257982201 0.00182091155572985 280 -4.10383840544963 4.06351344583518e-05
"GA" 5.22648083623693e-05 4.57508273116806e-05 0.000506391018257423 0.000434335670628217 0.000765392071897204 280 -8.49534290351566 1.97349410588108e-17
"GC" 0 0 4.34924122930596e-05 4.32217858428991e-05 0 280 -Inf 0
"GM" 9.54553282763048e-05 6.74431892042738e-05 0.00255393138138757 0.00177474255732096 0.000677582930241031 280 -42.1624887782221 0
"GU" 0.000264832897901515 0.000248320258681993 0.000449421874480158 0.000415913999307581 0.00191618875077957 280 -1.46351953503228 0.143325272228057
"GY" 3.05250305250305e-05 3.01294562911202e-05 0.000176815025293825 0.000174408143629654 0.0005041457305867 280 -4.78878241164436 1.67796297897276e-06
"HA" 0.000535053760776979 0.000504404808665482 0.000127656988115381 0.000120895826489762 0.00293991470406802 280 2.18282955460717 0.0290483643382001
"HB" 0 0 6.33314583073762e-05 5.86255001288571e-05 0 280 -Inf 0
"HE" 0.000722358874783181 0.000567072258308045 0.000239685659582766 0.000190037998241541 0.003913952884912 280 1.6119227967589 0.106978740757805
"HF" 0 0 6.3762427225686e-05 5.70355659190616e-05 0 280 -Inf 0
"HI" 0.000905320624532351 0.000784683590695825 0.000352808166372278 0.000308832483337087 0.004300638114686 280 1.85147222106178 0.0641016475163897
"HL" 0.00043522564426707 0.00036968825822785 0.000808919508253048 0.00067811578235564 0.0038554991106136 280 -1.33860220488822 0.180700207960617
"HQ" 0 0 7.68568944026235e-05 7.4047426325183e-05 0 280 -Inf 0
"HT" 0.000567521883256246 0.000486410490119639 0.000441736429184305 0.000367521715165227 0.00553611242060419 280 0.359347780719766 0.719334934206548
"HY" 0.00269537566419992 0.00183915873920875 0.00669965742043091 0.00433489143061132 0.0124975362910474 280 -3.34158626337676 0.00083301127236288
"IA" 0.00752615066735914 0.00507065686833816 0.0172091738253798 0.0110349385073841 0.025389619124046 280 -3.93080022981115 8.46635981625574e-05
"ID" 0 0 1.42591479815644e-05 1.39102911024509e-05 0 280 -Inf 0
"IF" 0 0 5.94872608969498e-05 5.71726428368316e-05 0 280 -Inf 0
"IG" 0.0162076907951202 0.0116611431417253 0.00431139232899385 0.00316189881627115 0.0369286646358107 280 3.85119692411425 0.000117541932459177
