"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"FI" 0 0 1.33337429094489e-05 1.27592054026426e-05 0 211 -Inf 0
"FS" 0 0 1.80665339860411e-07 1.17100529271285e-07 0 211 -Inf 0
"FU" 0 0 2.93970779881083e-05 2.75104088266098e-05 0 211 -Inf 0
"FY" 0.000980552377839516 0.00089883464712638 0.00118639590812955 0.00108447964343842 0.0130428402346635 211 -0.206753229179268 0.836202584545335
"GA" 0 0 0.00112976401024442 0.000956024208828193 0 211 -Inf 0
"GC" 0 0 5.98221142045862e-06 5.96011099089598e-06 0 211 -Inf 0
"GM" 3.59040643400833e-05 2.52398192975656e-05 0.00141483338851615 0.000994780800965133 0.000366432104690161 211 -38.433849185884 0
"GU" 6.58241179568194e-05 6.27369826793578e-05 3.99164721170541e-05 3.80964775561842e-05 0.000911256730501551 211 0.392780650566594 0.694481497093036
"GY" 0 0 0.000141774517277263 0.000139743680860363 0 211 -Inf 0
"HA" 0.000124719381391868 0.000118390203408444 0.00014071467190548 0.000133184408737029 0.00171882777038824 211 -0.125026049220108 0.900502927847283
"HB" 0.000152881822351322 0.000140174222573813 0.00021976720761717 0.000199692182733574 0.00203516283141573 211 -0.424805473204024 0.670978487472603
"HE" 0.000152881822351322 0.000116955776371473 0.000522951263869937 0.000404806501590478 0.00169832564721722 211 -2.46199738592712 0.0138165673764217
"HF" 0 0 0.000141010101434456 0.000124976257692178 0 211 -Inf 0
"HI" 0.000249438762783737 0.000220173609579926 0.00030064749775225 0.000265417403122758 0.00319503534714167 211 -0.205695396589801 0.837028854660483
"HL" 0.000819136821207881 0.000649447658682963 0.0041120509656285 0.0031958824121104 0.00467924601217677 211 -7.90492769006408 2.68089175749808e-15
"HQ" 0 0 7.38302757937544e-06 7.21392787999421e-06 0 211 -Inf 0
"HT" 0 0 8.83271218663663e-05 7.84439831168459e-05 0 211 -Inf 0
"HY" 0.000874160318849649 0.00064083290197442 0.00118728212057208 0.000881897865653083 0.00493581717527844 211 -0.709440957344426 0.478050878821999
"IA" 0.00673194192256943 0.00467358822525366 0.00860092816491347 0.00599767150163764 0.02939631984552 211 -0.654279877813597 0.512931507396952
"ID" 0 0 4.65185333921754e-06 4.5831030865533e-06 0 211 -Inf 0
"IF" 0 0 1.988297042763e-05 1.93557112603455e-05 0 211 -Inf 0
"IG" 0.00626118303483237 0.0045653711109549 0.00278915399442541 0.00206860006988403 0.0188231296641541 211 1.92676217638821 0.054009275204718
"IH" 6.58241179568194e-05 6.44355593536738e-05 1.5236968828077e-05 1.48925386163907e-05 0.000935756084929884 211 0.769061464508546 0.441856823226741
"II" 6.58241179568194e-05 6.44018154485706e-05 1.74800882559562e-05 1.70882738028609e-05 0.000935262051135552 211 0.734840989028847 0.462436340672678
"IJ" 0 0 7.03419306546887e-05 6.83681694184857e-05 0 211 -Inf 0
"IK" 0 0 9.52184719530452e-06 9.40125564633833e-06 0 211 -Inf 0
"IL" 0 0 3.26587345132281e-07 3.22972495373009e-07 0 211 -Inf 0
"IM" 0 0 1.26462785226695e-05 1.24519902242795e-05 0 211 -Inf 0
"IO" 0 0 1.43903716977516e-06 1.43125440952604e-06 0 211 -Inf 0
"IP" 0 0 9.9518738356526e-07 9.88339457972811e-07 0 211 -Inf 0
"IQ" 0.00171204877968953 0.00166611498897145 0.000279161969174976 0.000273324970195152 0.0147876226698011 211 1.36813361348481 0.171270256870756
"IU" 0 0 5.88942701540055e-05 5.81799309807646e-05 0 211 -Inf 0
"IX" 0 0 1.28520819853646e-06 1.28214307616711e-06 0 211 -Inf 0
"IY" 0 0 1.10441473408796e-05 1.00537622677989e-05 0 211 -Inf 0
"JA" 0.000545012823618326 0.000523775717527093 0.000288585245837262 0.000276784828656487 0.00418378259652513 211 0.85753736358701 0.391147974704939
"JB" 0 0 1.54331547429046e-05 1.51880506077121e-05 0 211 -Inf 0
"JI" 0 0 0.000170452906014221 0.00014854123109707 0 211 -Inf 0
"JM" 0 0 8.47956212470619e-06 7.58826744998523e-06 0 211 -Inf 0
"JO" 0 0 0.000264524395184507 0.00023124422363205 0 211 -Inf 0
"JS" 0 0 2.1076713842922e-06 2.00714202315213e-06 0 211 -Inf 0
"JU" 0 0 5.7737657464953e-06 5.50379361218454e-06 0 211 -Inf 0
"JW" 0 0 4.46908998602069e-07 4.33884524286265e-07 0 211 -Inf 0
"JY" 0 0 0.000145883173002369 0.000133655330465249 0 211 -Inf 0
"KA" 0 0 2.47734858705335e-06 2.42059119277735e-06 0 211 -Inf 0
"KI" 0.00213072094007638 0.00176160792811628 0.0045668744612718 0.00372834184427192 0.0162105036999181 211 -1.76234254295177 0.0780114400489262
"KM" 0.0211690138458839 0.0160196705540641 0.0146482011892006 0.0111139470942413 0.0552668536865018 211 1.28937590309423 0.197267434585862
"KU" 0 0 5.34755673294757e-06 5.279316801163e-06 0 211 -Inf 0
"KV" 0 0 3.69185694497361e-07 3.64714867862403e-07 0 211 -Inf 0
"KY" 0 0 6.43798436495631e-07 6.41599255266758e-07 0 211 -Inf 0
"LE" 0 0 1.18629911354862e-05 1.17776391301918e-05 0 211 -Inf 0
"LI" 0.0032569230104352 0.00162825346075518 0.0067463070819868 0.00350063853816338 0.00676905832917118 211 -4.01798343943643 5.86983213670228e-05
"LJ" 0.000886454922502212 0.000615226243115807 0.00351225220580222 0.00243589851717751 0.00387508510787866 211 -6.82482879030776 8.80302377750618e-12
