"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"AA" 0.000528061447150214 0.000482952458220754 0.00138998831315863 0.00126223401351721 0.00406095007771515 134 -2.22136101474558 0.0263265193167933
"AC" 0 0 0.000296913510688844 0.000289428402764521 0 134 -Inf 0
"AD" 0 0 0.000184348350602918 0.000166868220155874 0 134 -Inf 0
"AE" 0 0 5.7752946626096e-06 5.3819933443675e-06 0 134 -Inf 0
"AF" 0 0 1.99178401148043e-06 1.96032593430566e-06 0 134 -Inf 0
"AH" 0 0 0.0001253150568421 0.000111061371754029 0 134 -Inf 0
"AI" 0 0 3.69893901003534e-05 3.61296993502895e-05 0 134 -Inf 0
"AM" 0 0 2.02320901099452e-05 1.87760584863334e-05 0 134 -Inf 0
"AQ" 0.000122339124051872 0.000107337062646146 0.00019772695705432 0.000175899183090338 0.00123915757237358 134 -0.640486683587129 0.521856243732154
"AY" 0.000577015256456226 0.000306259192445185 0.00190577135691489 0.000950061926422228 0.00183802223244818 134 -4.05466012027622 5.02072497322311e-05
"AZ" 0 0 4.67976946305248e-05 3.6858876988748e-05 0 134 -Inf 0
"BA" 0.000350131502878407 0.000247019970742347 0.00637432261937953 0.00436478266691346 0.0020246869534505 134 -23.5426762117653 1.49208945237777e-122
"BD" 0 0 3.02898004767252e-05 2.87148811198094e-05 0 134 -Inf 0
"BF" 0 0 0.000152119477694626 0.00013569402239733 0 134 -Inf 0
"BI" 0 0 8.26552537215794e-06 8.09482263502068e-06 0 134 -Inf 0
"BK" 0 0 8.47353196500084e-07 8.25661290076059e-07 0 134 -Inf 0
"BM" 0 0 1.39603956647355e-06 1.37756529931772e-06 0 134 -Inf 0
"BP" 0 0 6.69960972802511e-06 6.3073352577832e-06 0 134 -Inf 0
"BQ" 0 0 1.66355096632502e-05 1.39411455228384e-05 0 134 -Inf 0
"BU" 0 0 2.9694526350828e-05 2.96336978197e-05 0 134 -Inf 0
"BV" 0.0013832959778736 0.000745626318580357 0.00511817102943807 0.00243630438080381 0.00283292703053798 134 -6.90840720302899 4.90125429566659e-12
"CN" 0.012111678964514 0.00607166702401146 0.023298531841204 0.0100200442122319 0.0167625666507469 134 -2.72665703969032 0.00639794998378459
"CO" 0.00509372202582175 0.00374331539325094 0.00552542569458063 0.00401883198433284 0.0107590866425436 134 -0.296431772355611 0.76690036423179
"CQ" 0.046399307687894 0.0295442793306758 0.0556218672644912 0.0348999106943605 0.0487338427888312 134 -1.27213270347091 0.203325973261164
"CT" 0.000470496663563109 0.000307837027354227 0.00021759138969873 0.000142117998803227 0.00228726501487763 134 0.838703182061236 0.401635892256785
"CU" 0.00833847416518549 0.00453239950717766 0.00811301984354872 0.00424613951223092 0.0169344787743144 134 0.195677650163231 0.844862478806395
"DA" 0.00943699432665039 0.00620986264400726 0.00641944644008942 0.00418369482263549 0.0149868648119246 134 1.56500966227568 0.117580643759645
"DB" 0.00539228693182214 0.00397504480949117 0.00341903438651951 0.00252324436717022 0.0120417021015385 134 1.39563368982187 0.162824831869063
"DE" 0 0 0.000366226825083344 0.000312854985538813 0 134 -Inf 0
"DI" 0 0 4.36974994387372e-05 4.31623294536107e-05 0 134 -Inf 0
"DK" 0 0 1.21072495997553e-05 1.20528501243557e-05 0 134 -Inf 0
"DM" 0.00673940571737995 0.0051608986684949 0.00637818119721692 0.00494350069236105 0.017996809548651 134 0.139833869326617 0.888791252337494
"DQ" 0.00382926525429978 0.0032110831914919 0.00420894568214781 0.00357736033760887 0.0185913023202046 134 -0.228061726480644 0.819598253882231
"DR" 0.0229276406288644 0.0146405736597763 0.0269475247730445 0.017051078177572 0.0255290203967225 134 -1.09301519282051 0.274387129221474
"DS" 0.000260761827926007 0.00019207765219614 0.00284008926512511 0.00210912901256842 0.00160599970587229 134 -13.8178567535219 1.98904122434678e-43
"DT" 0 0 8.34740427403974e-06 8.25515320693771e-06 0 134 -Inf 0
"DW" 0.000130924325739722 0.000115967113578018 0.000253844155734038 0.000224231125239389 0.00134098908076886 134 -0.934568789117402 0.350010569895954
"DX" 0.000892706453479919 0.000631796649805948 0.00176939566978014 0.00123556586422601 0.0028656271966711 134 -2.43895436265103 0.0147298283569213
"DY" 0.000173550850399167 0.000158203609771313 0.000931643288636804 0.000847219815848979 0.00183077595992635 134 -4.35658944596106 1.32104722419805e-05
"EA" 0 0 0.000823993316696495 0.000746679609273743 0 134 -Inf 0
"EC" 0 0 8.54435351291298e-05 8.16706497648755e-05 0 134 -Inf 0
"EE" 0 0 0.000392428128242701 0.000359364382564211 0 134 -Inf 0
"EI" 0 0 0.000181205599896664 0.000173067881164852 0 134 -Inf 0
"EN" 0 0 0 0 0 134 NA NA
"EO" 0 0 3.12103530983298e-07 3.09255386389034e-07 0 134 -Inf 0
"EP" 0.00267435017762132 0.00248947494472323 0.00449297289959411 0.00414836923427894 0.021742406368783 134 -0.883209034416639 0.377123341217334
"EQ" 0.013450882548635 0.00957841796374088 0.00566341788443326 0.00399035866503666 0.0303089604549772 134 2.13423562121208 0.0328234981877618
"ER" 0.000361827227498869 0.000316073712288294 0.000715079042883843 0.000613694403993241 0.00265456855838237 134 -1.29784125378608 0.19434189035794
"ES" 0.000392772977219167 0.000381048429930198 0.000257543714000854 0.000249567590000123 0.00439367588266744 134 0.346407154172782 0.72903674931429
"ET" 0.000349126625152696 0.00033027368795447 0.000320051724675177 0.000302355305728194 0.00264836767439219 134 0.122029370153562 0.902875758069024
"EU" 0.000430264943226451 0.000407451819393547 0.00011173494646195 0.000105982209990631 0.00353913560995937 134 0.986049537004345 0.324108804841754
"EV" 0.00310548625480295 0.00266474662627576 0.00128626063539365 0.00109800742718421 0.0105142380013588 134 1.72492932303303 0.084540210352713
"EW" 0.00033207169892166 0.000321613673795748 0.000234802484814294 0.000227005100620574 0.00265518738962632 134 0.412465582263721 0.679998202522034
"EX" 0.000911386412057129 0.00087077210538051 0.000698905166338072 0.000665584684430595 0.00707609882436528 134 0.335667460047583 0.737121646584532
"FA" 0 0 1.2139560005276e-05 1.20025626110732e-05 0 134 -Inf 0
"FE" 0.00186567164179104 0.00168198979321844 4.06729850151076e-05 3.6800840476819e-05 0.0194060491664764 134 0.981366110527445 0.32641223197485
"FF" 0 0 0.000421748038082666 0.000354474357551534 0 134 -Inf 0
"FI" 0 0 3.31158487203077e-05 3.08104086637523e-05 0 134 -Inf 0
"FS" 0 0 2.19261629225899e-07 1.27777499503038e-07 0 134 -Inf 0
"FU" 0.000310945273631841 0.000293341737776379 3.64473945501827e-05 3.45795227841694e-05 0.00339233519345974 134 0.882987389668782 0.377243084876717
"FY" 0 0 0.000639454872001921 0.000592668257982201 0 134 -Inf 0
"GA" 0 0 0.000506391018257423 0.000434335670628217 0 134 -Inf 0
"GC" 0 0 4.34924122930596e-05 4.32217858428991e-05 0 134 -Inf 0
"GM" 0.00415756971708116 0.0029463740769929 0.00255393138138757 0.00177474255732096 0.0184867494304991 134 0.733639812281723 0.463168289874074
"GU" 0.00011660447761194 0.000108504900742598 0.000449421874480158 0.000415913999307581 0.00125577463364948 134 -2.83372309972561 0.00460091797312665
"GY" 0 0 0.000176815025293825 0.000174408143629654 0 134 -Inf 0
"HA" 0 0 0.000127656988115381 0.000120895826489762 0 134 -Inf 0
"HB" 0 0 6.33314583073762e-05 5.86255001288571e-05 0 134 -Inf 0
"HE" 0.000626240505831606 0.000496186347663686 0.000239685659582766 0.000190037998241541 0.00334281837740481 134 1.06016030811716 0.289071675067212
"HF" 0 0 6.3762427225686e-05 5.70355659190616e-05 0 134 -Inf 0
"HI" 0 0 0.000352808166372278 0.000308832483337087 0 134 -Inf 0
"HL" 0.000128486904781802 0.000105838349762686 0.000808919508253048 0.00067811578235564 0.000886717294133014 134 -7.4709157774133 7.96386172913614e-14
"HQ" 0 0 7.68568944026235e-05 7.4047426325183e-05 0 134 -Inf 0
"HT" 0.00011660447761194 9.76075279209682e-05 0.000441736429184305 0.000367521715165227 0.00112965492567962 134 -2.76587348779007 0.00567705543293884
"HY" 0.00290641791153515 0.00193292965646845 0.00669965742043091 0.00433489143061132 0.00633658463287404 134 -4.38796597144215 1.14415671360685e-05
"IA" 0.00747414664555223 0.00487022255331 0.0172091738253798 0.0110349385073841 0.015633721053782 134 -4.56460404985461 5.00437951112866e-06
"ID" 0 0 1.42591479815644e-05 1.39102911024509e-05 0 134 -Inf 0
"IF" 0.000140805406927626 0.000135324546830212 5.94872608969498e-05 5.71726428368316e-05 0.00156557708170027 134 0.577853179408697 0.563363248075605
"IG" 0.0110670233748481 0.00809495461953459 0.00431139232899385 0.00316189881627115 0.0267321273976855 134 2.13616554198693 0.032665923009037
"IH" 0 0 4.97817718785762e-05 4.81417605640215e-05 0 134 -Inf 0
"II" 0 0 4.66793578374729e-05 4.50268413648179e-05 0 134 -Inf 0
"IJ" 0.000326989132959282 0.000315809502816921 0.000147632015691106 0.000142828781087438 0.00275791639319725 134 0.726054142542754 0.467805579802267
"IK" 0 0 2.26332993712472e-05 2.22138173192196e-05 0 134 -Inf 0
"IL" 0 0 3.62052417440366e-07 3.55749243453013e-07 0 134 -Inf 0
"IM" 0 0 2.71492819811744e-05 2.65373369789733e-05 0 134 -Inf 0
"IO" 0 0 3.29926290991694e-06 3.2686556591089e-06 0 134 -Inf 0
"IP" 0 0 2.78426248819642e-06 2.75160212127558e-06 0 134 -Inf 0
"IQ" 0.00248681535863946 0.00241039410009358 0.00166390498069327 0.00161233677254419 0.0160216278867339 134 0.576606917105949 0.564205025411793
"IU" 0 0 6.39637281270176e-05 6.28688282538579e-05 0 134 -Inf 0
"IX" 0 0 2.52767009699097e-06 2.51737336786803e-06 0 134 -Inf 0
"IY" 0 0 0.000303417753604683 0.0002617266710183 0 134 -Inf 0
"JA" 0 0 0.000766885431546541 0.000725036136045474 0 134 -Inf 0
"JB" 0 0 1.86353953326874e-05 1.82499748254697e-05 0 134 -Inf 0
"JI" 0.000553131150146076 0.000481702246821777 0.000253162462958562 0.000221381210004886 0.00465560360743358 134 0.647270283008209 0.517457030898846
"JM" 0 0 2.84534852856102e-06 2.59893673171874e-06 0 134 -Inf 0
"JO" 0 0 9.93825084801637e-05 8.87418746944794e-05 0 134 -Inf 0
"JS" 0 0 5.24775502777522e-06 4.97114044002065e-06 0 134 -Inf 0
"JU" 0 0 7.95271694507989e-05 7.39292339326666e-05 0 134 -Inf 0
"JW" 0 0 5.9898657461441e-08 5.7984659631158e-08 0 134 -Inf 0
"JY" 0 0 0.00094264714810083 0.000835300710328195 0 134 -Inf 0
"KA" 0 0 5.30703708112536e-06 5.09794916374691e-06 0 134 -Inf 0
"KI" 0.0303482557683944 0.0247399883545601 0.00371015500302227 0.00313594211814622 0.0774120500866898 134 3.23056830807359 0.00123544379591897
"KM" 0.0218235598145772 0.0149970337478214 0.0139576700819131 0.0095312168092173 0.048101217680072 134 1.31538053449326 0.188382044158488
"KU" 0 0 9.1407385378519e-06 9.00589780694986e-06 0 134 -Inf 0
"KV" 0 0 7.50491140743805e-06 7.34781550212014e-06 0 134 -Inf 0
"KY" 0 0 3.87757528354718e-06 3.85499612042514e-06 0 134 -Inf 0
"LE" 0 0 3.28319633544291e-05 3.24377072834255e-05 0 134 -Inf 0
"LI" 0.0102171659517442 0.00540831865223551 0.00531574608524175 0.00273092217344776 0.0184166455603122 134 1.6828854560432 0.0923972676135009
"LJ" 0.0049864363275853 0.00361310895839504 0.00164256527428425 0.00119641266627901 0.0136401420582928 134 2.05095240222259 0.0402715822409823
"LQ" 0.00152854150301126 0.00128780762666647 0.000363198745625917 0.000311329968005461 0.0107990394029124 134 1.04671773980469 0.295229779427367
