"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"AA" 0.00101240347101759 0.000916697450977157 0.000541798944307156 0.000490663214959235 0.0103457174157315 774 1.14565635579101 0.251937369106416
"AC" 0 0 2.82119782862262e-05 2.77799842296961e-05 0 774 -Inf 0
"AD" 0 0 2.33257216466817e-05 2.17200581217208e-05 0 774 -Inf 0
"AE" 0 0 1.03586102231868e-06 9.89436044873749e-07 0 774 -Inf 0
"AF" 0 0 5.84405867498986e-07 5.76572786591426e-07 0 774 -Inf 0
"AH" 0 0 2.24544750694837e-05 2.06719304214323e-05 0 774 -Inf 0
"AI" 0 0 2.46352764742975e-06 2.42338709847183e-06 0 774 -Inf 0
"AM" 0 0 3.232354135111e-06 3.08060064230364e-06 0 774 -Inf 0
"AQ" 0.000271027148022132 0.000238960993312358 0.000298107507279774 0.000263939046199967 0.00356776684627915 774 -0.194774723142214 0.845569311301596
"AY" 0.000821017496483156 0.000464844400481231 0.00106012364418576 0.000616243707741894 0.00397000668514156 774 -1.06097006431186 0.288703505872105
"AZ" 0 0 2.74633931872783e-05 2.24911749019958e-05 0 774 -Inf 0
"BA" 0.00982498313697887 0.00643336415841918 0.0114846257403052 0.00746080485233274 0.0315931477384299 774 -0.904761985192605 0.365591494945519
"BD" 0 0 2.60053050788412e-06 2.52365750789386e-06 0 774 -Inf 0
"BF" 0.000127391987857104 0.000114004598441889 0.00015587113756298 0.000140337488715823 0.00293385660423914 774 -0.249706660439398 0.80281420706008
"BI" 0 0 1.01819568256881e-05 1.00245021685342e-05 0 774 -Inf 0
"BK" 0 0 2.1170492168833e-06 2.07177544763316e-06 0 774 -Inf 0
"BM" 0 0 1.43216466835786e-06 1.41165674750424e-06 0 774 -Inf 0
"BP" 5.3832902670112e-05 5.13774497042431e-05 6.1487240726853e-06 5.87334457723669e-06 0.00142926449678056 774 0.88574447600984 0.37575523584313
"BQ" 0 0 7.99825995644385e-06 6.91274739917147e-06 0 774 -Inf 0
"BU" 0 0 1.14416364684455e-05 1.14293292904767e-05 0 774 -Inf 0
"BV" 0.000565433575096969 0.000319652979597094 0.0010931546181501 0.000619457075103851 0.00272479426424373 774 -3.06107750034678 0.00220542001382238
"CN" 0.00863448237906085 0.00449510988175306 0.00816902258571579 0.00428097560301688 0.0132762076805555 774 0.448727450395911 0.6536282799889
"CO" 0.00162115032500522 0.00127212398412217 0.0015711359141938 0.00126247389472691 0.00655915678694466 774 0.0409311366106773 0.96735079481422
