"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"GC" 0 0 5.98221142045862e-06 5.96011099089598e-06 0 111 -Inf 0
"GM" 0.000563063063063063 0.000406227006772844 0.00141483338851615 0.000994780800965133 0.00427554310778379 111 -1.45029504655184 0.146976259802051
"GU" 0 0 3.99164721170541e-05 3.80964775561842e-05 0 111 -Inf 0
"GY" 0 0 0.000141774517277263 0.000139743680860363 0 111 -Inf 0
"HA" 0 0 0.00014071467190548 0.000133184408737029 0 111 -Inf 0
"HB" 0 0 0.00021976720761717 0.000199692182733574 0 111 -Inf 0
"HE" 0.000281531531531532 0.000220738525309562 0.000522951263869937 0.000404806501590478 0.00232186508007493 111 -0.835223580269984 0.403591835403312
"HF" 0 0 0.000141010101434456 0.000124976257692178 0 111 -Inf 0
"HI" 0 0 0.00030064749775225 0.000265417403122758 0 111 -Inf 0
"HL" 0.000629268686379549 0.000496703155354653 0.0041120509656285 0.0031958824121104 0.00345507559055737 111 -8.23067898826302 1.86155220403316e-16
"HQ" 0 0 7.38302757937544e-06 7.21392787999421e-06 0 111 -Inf 0
"HT" 0.000819000819000819 0.000715597651778333 8.83271218663663e-05 7.84439831168459e-05 0.00752647795723874 111 0.891895316576473 0.372449045204164
"HY" 0.00200575371451089 0.00145129670264388 0.00118728212057208 0.000881897865653083 0.00781571307280015 111 0.767554916350434 0.442751655409873
"IA" 0.00198002345341068 0.00136821037037335 0.00860092816491347 0.00599767150163764 0.00740809683271905 111 -6.58393115568772 4.58169338137262e-11
"ID" 0 0 4.65185333921754e-06 4.5831030865533e-06 0 111 -Inf 0
"IF" 0.000169981302056774 0.000165127575657537 1.988297042763e-05 1.93557112603455e-05 0.00173833143847196 111 0.883491983293257 0.376970512038538
"IG" 0.00262441375788123 0.00193279193629796 0.00278915399442541 0.00206860006988403 0.0109715183924608 111 -0.130412894651597 0.8962397652582
"IH" 0 0 1.5236968828077e-05 1.48925386163907e-05 0 111 -Inf 0
"II" 0 0 1.74800882559562e-05 1.70882738028609e-05 0 111 -Inf 0
"IJ" 0 0 7.03419306546887e-05 6.83681694184857e-05 0 111 -Inf 0
"IK" 0 0 9.52184719530452e-06 9.40125564633833e-06 0 111 -Inf 0
"IL" 0 0 3.26587345132281e-07 3.22972495373009e-07 0 111 -Inf 0
"IM" 0 0 1.26462785226695e-05 1.24519902242795e-05 0 111 -Inf 0
