"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"CN" 0.00720169487977995 0.00354319456458441 0.00816902258571579 0.00428097560301688 0.0112165609907697 1256 -2.33110903068033 0.0197476112312789
"CO" 0.00245950035999376 0.00187781302906116 0.0015711359141938 0.00126247389472691 0.00874489298918401 1256 2.49376115966237 0.0126397562954806
"CQ" 0.0326615530912032 0.0220244182630477 0.0181105261189343 0.0132723878280715 0.0382884436446038 1256 8.1009495121988 5.45318798254612e-16
"CT" 2.38995561447791e-05 1.60272198788903e-05 9.96568398123166e-05 7.05035081320806e-05 0.000338089547007748 1256 -5.71045331518269 1.12675643392142e-08
"CU" 0.00382175236886515 0.00217616918232874 0.00219520276223997 0.00138048280306171 0.00938726889143001 1256 3.0039831022788 0.00266470124229469
"DA" 0.00311798168245974 0.00217655193548707 0.00240068518781632 0.00180187787214754 0.00857651813067918 1256 1.54823699233219 0.121565248056163
"DB" 0.00275854479953207 0.00210228812468073 0.00177799009562748 0.00143235830588903 0.00967882267900773 1256 2.45302285779782 0.0141661336596366
"DE" 0 0 0.000121425147059773 0.000109966110605272 0 1256 -Inf 0
"DI" 1.28415861927265e-05 1.27246191840118e-05 2.41393190941796e-05 2.3889204992611e-05 0.000450951648327185 1256 -0.877419853352889 0.380258633540756
"DK" 0 0 5.0645101093316e-06 5.04294563629493e-06 0 1256 -Inf 0
"DM" 0.0290778723880663 0.0216955596897748 0.0175441965411795 0.0135299708075342 0.0750497395160439 1256 3.85596551235233 0.000115273740000945
"DQ" 0.00715322485581456 0.00589559539869973 0.00753295033625412 0.00611749434372815 0.0317557792537567 1256 -0.247643699276357 0.804410096489621
"DR" 0.0147040705261594 0.00988116842076059 0.00885587091096486 0.00644525197408282 0.025991141704962 1256 4.68502655608163 2.79923636179136e-06
"DS" 0.00407967725842788 0.00283320492661013 0.00634352446631275 0.00429779402917863 0.0165808217278796 1256 -3.13043411777308 0.00174548146791993
"DT" 0 0 5.22660052831842e-06 5.19231249349352e-06 0 1256 -Inf 0
"DW" 0 0 5.60180369546591e-05 5.15174516081778e-05 0 1256 -Inf 0
"DX" 0.000445546500852215 0.000328260248229195 0.000639053278954281 0.000491457720008116 0.00292782336073063 1256 -1.97543786727838 0.0482184790788044
"DY" 0.000213910501026701 0.000198750714599914 0.000354251601454558 0.000332699832672435 0.00234767253910754 1256 -2.02207452705813 0.0431686531444265
"EA" 0.000202284512517963 0.000187079389202234 0.000303893024080559 0.000284392007796899 0.00263533346155793 1256 -1.30866474394376 0.190647939221236
"EC" 8.26001522657574e-05 7.98906162790253e-05 3.45790461501333e-05 3.36079086745473e-05 0.00188268883623851 1256 0.87123443075173 0.383626163838889
"EE" 9.51360633581625e-05 8.88183250214558e-05 0.000105946076751678 9.99416980676422e-05 0.00186917462191993 1256 -0.210902363267921 0.832963459983827
